Weather,Road_Type,Vehicle_Type,Time_of_Day,Speed,Surface,SeverityPercent,SeverityLabel,Month
Sunny,Highway,Car,Noon,90,Dry,20,Low,Jan
Rainy,City,Bike,Morning,45,Wet,65,Medium,Jan
Foggy,Village,Truck,Night,40,Slippery,78,Medium,Jan
Cloudy,City,Car,Evening,60,Dry,35,Low,Feb
Rainy,Highway,Truck,Noon,110,Wet,88,High,Feb
Sunny,City,Car,Morning,50,Dry,25,Low,Feb
Sunny,Village,Bike,Evening,55,Dry,32,Low,Mar
Foggy,Highway,Truck,Night,80,Slippery,90,High,Mar
Cloudy,City,Bike,Noon,65,Wet,58,Medium,Mar
Rainy,Village,Car,Morning,70,Wet,72,Medium,Apr
Sunny,Highway,Car,Noon,100,Dry,45,Low,Apr
Foggy,City,Truck,Night,50,Slippery,80,High,Apr
Cloudy,Village,Bike,Evening,30,Dry,22,Low,May
Rainy,Highway,Car,Noon,95,Wet,85,High,May
Sunny,City,Car,Morning,55,Dry,28,Low,May
Rainy,City,Truck,Night,60,Wet,66,Medium,Jun
Cloudy,Highway,Bike,Evening,75,Dry,55,Medium,Jun
Sunny,Village,Car,Noon,45,Dry,18,Low,Jun
Foggy,City,Bike,Morning,35,Slippery,70,Medium,Jan
Rainy,Highway,Truck,Noon,120,Wet,92,High,Jan
Sunny,City,Car,Evening,50,Dry,30,Low,Feb
Cloudy,Village,Truck,Night,60,Slippery,60,Medium,Feb
Rainy,City,Bike,Morning,40,Wet,68,Medium,Mar
Sunny,Highway,Car,Noon,100,Dry,40,Low,Mar
Foggy,Village,Truck,Evening,45,Slippery,75,Medium,Mar
Cloudy,City,Car,Morning,55,Dry,34,Low,Apr
Rainy,Highway,Bike,Noon,85,Wet,82,High,Apr
Sunny,City,Truck,Night,65,Dry,48,Low,Apr
Rainy,Village,Car,Evening,70,Wet,70,Medium,May
Cloudy,Highway,Car,Morning,95,Dry,52,Medium,May
Foggy,City,Bike,Noon,30,Slippery,77,Medium,May
Sunny,Village,Car,Night,40,Dry,20,Low,Jun
Rainy,City,Truck,Evening,80,Wet,86,High,Jun
Cloudy,Highway,Bike,Noon,88,Dry,60,Medium,Jan
Sunny,City,Car,Morning,48,Dry,26,Low,Jan
Foggy,Village,Bike,Evening,38,Slippery,74,Medium,Feb
Rainy,Highway,Truck,Noon,115,Wet,93,High,Feb
Sunny,City,Car,Night,52,Dry,29,Low,Feb
Cloudy,Village,Truck,Morning,58,Slippery,65,Medium,Mar
Rainy,City,Bike,Evening,62,Wet,69,Medium,Mar
Sunny,Highway,Truck,Noon,105,Dry,47,Low,Apr
Foggy,City,Car,Night,47,Slippery,79,High,Apr
Cloudy,Highway,Bike,Evening,70,Dry,57,Medium,May
Rainy,Village,Truck,Noon,90,Wet,88,High,May
Sunny,City,Bike,Morning,35,Dry,21,Low,May
Foggy,Highway,Car,Evening,85,Slippery,84,High,Jun
Cloudy,City,Car,Noon,60,Dry,50,Medium,Jun
Rainy,Village,Bike,Morning,42,Wet,67,Medium,Jun
Sunny,Highway,Truck,Night,98,Dry,46,Low,Jan
Foggy,City,Car,Evening,44,Slippery,76,Medium,Jan
Cloudy,Village,Bike,Noon,66,Dry,59,Medium,Feb
Rainy,Highway,Car,Morning,92,Wet,90,High,Feb
Sunny,City,Truck,Noon,53,Dry,31,Low,Mar
Foggy,Village,Car,Night,49,Slippery,73,Medium,Mar
Cloudy,City,Bike,Evening,58,Dry,56,Medium,Apr
Rainy,Highway,Truck,Noon,118,Wet,94,High,Apr
Sunny,Village,Car,Morning,46,Dry,24,Low,May
Rainy,City,Bike,Night,63,Wet,71,Medium,May
Cloudy,Highway,Truck,Evening,82,Dry,61,Medium,Jun
